name,main_id,ra,dec,plx,pmra,pmdec,rvz_radvel,gaia_dr3,resolved_by
Kepler-191 c,,,,,,,,,catalogue_position
Kepler-192 d,,,,,,,,,catalogue_position
Kepler-192 b,,,,,,,,,catalogue_position
Kepler-192 c,,,,,,,,,catalogue_position
Kepler-203 b,,,,,,,,,catalogue_position
Kepler-203 c,,,,,,,,,catalogue_position
Kepler-203 d,,,,,,,,,catalogue_position
Kepler-204 b,,,,,,,,,catalogue_position
Kepler-204 c,,,,,,,,,catalogue_position
Kepler-206 b,,,,,,,,,catalogue_position
Kepler-206 c,,,,,,,,,catalogue_position
Kepler-206 d,,,,,,,,,catalogue_position
Kepler-218 b,,,,,,,,,catalogue_position
Kepler-218 c,,,,,,,,,catalogue_position
Kepler-218 d,,,,,,,,,catalogue_position
Kepler-222 b,,,,,,,,,catalogue_position
Kepler-222 c,,,,,,,,,catalogue_position
Kepler-222 d,,,,,,,,,catalogue_position
Kepler-229 b,,,,,,,,,catalogue_position
Kepler-229 c,,,,,,,,,catalogue_position
Kepler-229 d,,,,,,,,,catalogue_position
Kepler-231 b,,,,,,,,,catalogue_position
Kepler-231 c,,,,,,,,,catalogue_position
Kepler-242 b,,,,,,,,,catalogue_position
Kepler-242 c,,,,,,,,,catalogue_position
Kepler-244 b,,,,,,,,,catalogue_position
Kepler-244 c,,,,,,,,,catalogue_position
Kepler-244 d,,,,,,,,,catalogue_position
Kepler-81  b,,,,,,,,,catalogue_position
Kepler-81  c,,,,,,,,,catalogue_position
Kepler-81  d,,,,,,,,,catalogue_position
Kepler-83  d,,,,,,,,,catalogue_position
Kepler-83  b,,,,,,,,,catalogue_position
Kepler-83  c,,,,,,,,,catalogue_position
Kepler-249 b,,,,,,,,,catalogue_position
Kepler-249 c,,,,,,,,,catalogue_position
Kepler-249 d,,,,,,,,,catalogue_position
Kepler-253 b,,,,,,,,,catalogue_position
Kepler-253 c,,,,,,,,,catalogue_position
Kepler-253 d,,,,,,,,,catalogue_position
Kepler-254 b,,,,,,,,,catalogue_position
Kepler-254 c,,,,,,,,,catalogue_position
Kepler-254 d,,,,,,,,,catalogue_position
Kepler-276 b,,,,,,,,,catalogue_position
Kepler-276 c,,,,,,,,,catalogue_position
Kepler-276 d,,,,,,,,,catalogue_position
Kepler-277 b,,,,,,,,,catalogue_position
Kepler-277 c,,,,,,,,,catalogue_position
Kepler-287 b,,,,,,,,,catalogue_position
Kepler-287 c,,,,,,,,,catalogue_position
Kepler-310 b,,,,,,,,,catalogue_position
Kepler-310 c,,,,,,,,,catalogue_position
Kepler-310 d,,,,,,,,,catalogue_position
Kepler-325 b,,,,,,,,,catalogue_position
Kepler-325 c,,,,,,,,,catalogue_position
Kepler-325 d,,,,,,,,,catalogue_position
Kepler-326 b,,,,,,,,,catalogue_position
Kepler-326 c,,,,,,,,,catalogue_position
Kepler-326 d,,,,,,,,,catalogue_position
Kepler-328 b,,,,,,,,,catalogue_position
Kepler-328 c,,,,,,,,,catalogue_position
Kepler-331 b,,,,,,,,,catalogue_position
Kepler-331 c,,,,,,,,,catalogue_position
Kepler-331 d,,,,,,,,,catalogue_position
Kepler-333 b,,,,,,,,,catalogue_position
Kepler-333 c,,,,,,,,,catalogue_position
Kepler-334 b,,,,,,,,,catalogue_position
Kepler-334 c,,,,,,,,,catalogue_position
Kepler-334 d,,,,,,,,,catalogue_position
Kepler-339 b,,,,,,,,,catalogue_position
Kepler-339 c,,,,,,,,,catalogue_position
Kepler-339 d,,,,,,,,,catalogue_position
Kepler-350 b,,,,,,,,,catalogue_position
Kepler-350 c,,,,,,,,,catalogue_position
Kepler-350 d,,,,,,,,,catalogue_position
Kepler-358 b,,,,,,,,,catalogue_position
Kepler-358 c,,,,,,,,,catalogue_position
Kepler-363 b,,,,,,,,,catalogue_position
Kepler-363 c,,,,,,,,,catalogue_position
Kepler-363 d,,,,,,,,,catalogue_position
Kepler-384 b,,,,,,,,,catalogue_position
Kepler-384 c,,,,,,,,,catalogue_position
Kepler-400 b,,,,,,,,,catalogue_position
Kepler-400 c,,,,,,,,,catalogue_position
Kepler-79  b,,,,,,,,,catalogue_position
Kepler-79  c,,,,,,,,,catalogue_position
Kepler-79  d,,,,,,,,,catalogue_position
Kepler-79  e,,,,,,,,,catalogue_position
Kepler-11  b,,,,,,,,,catalogue_position
Kepler-11  c,,,,,,,,,catalogue_position
Kepler-11  d,,,,,,,,,catalogue_position
Kepler-11  e,,,,,,,,,catalogue_position
Kepler-11  f,,,,,,,,,catalogue_position
Kepler-11  g,,,,,,,,,catalogue_position
,HD  50388,103.22762390794,-2.36602300198,7.4005,-12.861,57.649,31.09,3106018613583832064,simbad_gaia_id
Kepler-487 b,,,,,,,,,catalogue_position
Kepler-487 c,,,,,,,,,catalogue_position
Kepler-122 b,,,,,,,,,catalogue_position
Kepler-122 c,,,,,,,,,catalogue_position
Kepler-122 d,,,,,,,,,catalogue_position
Kepler-122 e,,,,,,,,,catalogue_position
Kepler-122 f,,,,,,,,,catalogue_position
Kepler-49  d,,,,,,,,,catalogue_position
Kepler-49  b,,,,,,,,,catalogue_position
Kepler-49  c,,,,,,,,,catalogue_position
Kepler-49  e,,,,,,,,,catalogue_position
