source_id,ra,dec,parallax_mas,is_etz,cluster_id,n_in_cluster,n_annulus,annulus_density_per_deg2,bright_source_max_jy,n_trials,best_aperture_arcsec,best_d_au,best_phase,best_dx_arcsec,best_dy_arcsec,best_n_obs,best_lambda,p_raw,p_trials,n_sources_in_reach,annulus_mosaics,n_annulus_mosaics,annulus_maskfract_mean,n_x_30,lambda_30,n_x_60,lambda_60,n_x_120,lambda_120,n_x_204,lambda_204,n_x_300,lambda_300,n_x_600,lambda_600,veto,masked_by_bad_tile,is_candidate,control_+ra_veto,control_+ra_p_trials,control_-ra_veto,control_-ra_p_trials,control_+dec_veto,control_+dec_p_trials,control_-dec_veto,control_-dec_p_trials,n_control_evaluated,n_control_fired,control_min_p_trials,p_empirical_control,best_offset_arcsec,star_inside_best_aperture,n_at_star_best_aperture,void_centre_ra,void_centre_dec,excess_significant
1427329718223532800,253.40977977691486,56.05805156259906,41.38287155104118,False,781,1,89,303.53121289668616,0.540738,41,600.0,500.0,0.0,175.4926034516366,-361.95825051477635,0,26.48809523809524,3.1359303042568634e-12,1.285731424745314e-10,288,P250+55;P251+58,2,0.32426966292134835,0,0.06622023809523811,0,0.26488095238095244,0,1.0595238095238098,0,3.0620238095238097,0,6.62202380952381,5,26.48809523809524,none,False,True,outside_footprint_or_masked,,not_significant,1.0,not_significant,1.0,none,3.1857805170121723e-09,3,1,3.1857805170121723e-09,0.00039913078185285376,402.2579135106617,True,5,253.49697287350753,55.95750760412273,False
1091437471514933504,122.14749834505538,63.71742966928088,25.422709542467896,False,3285,1,112,381.97186342054886,2.213882,82,600.0,500.0,0.375,-363.29781614353624,-73.62079705044663,1,33.333333333333336,1.146128309741985e-13,9.398252139884276e-12,338,P124+62;P126+65,2,0.4611200000000001,0,0.08333333333333334,0,0.33333333333333337,0,1.3333333333333335,0,3.8533333333333335,1,8.333333333333334,18,33.333333333333336,none,False,True,not_significant,0.3994337085284587,outside_footprint_or_masked,,not_significant,0.0684683776703771,not_significant,1.0,3,0,0.0684683776703771,0.00039913078185285376,370.68224259196137,True,18,121.9196754923277,63.69697944787798,False
1091558761391163776,121.8896522517103,64.87701268108644,24.044870534318836,False,3857,1,91,310.35213902919594,1.52362,41,600.0,500.0,0.25,-385.12535075782694,144.60914151241812,4,27.083333333333336,4.517462218331158e-08,1.8521595095157747e-06,258,P126+65,1,0.5819266055045872,0,0.06770833333333334,0,0.27083333333333337,0,1.0833333333333335,1,3.1308333333333334,7,6.770833333333334,28,27.083333333333336,none,False,True,not_significant,0.3144108260063362,outside_footprint_or_masked,,not_significant,0.09258626683592007,outside_footprint_or_masked,,2,0,0.09258626683592007,0.0022617410971661716,411.3797997049658,True,28,121.6374885528346,64.91718188706211,False
1425970202160161536,251.91191535567677,53.05609269116338,22.196119769068513,False,4912,2,119,405.8451048843332,0.196182,82,600.0,500.0,0.25,357.2171711882986,183.5500043117804,5,35.41666666666667,2.236192081475458e-10,1.8336775068098754e-08,325,P248+53,1,0.49576642335766424,0,0.08854166666666669,0,0.35416666666666674,1,1.416666666666667,3,4.094166666666667,7,8.854166666666668,29,35.41666666666667,none,False,True,outside_footprint_or_masked,,not_significant,1.0,not_significant,1.0,not_significant,0.0066267049207928315,3,0,0.0066267049207928315,0.0011086966162579272,401.615128543018,True,29,252.07710722789028,53.107078803472206,False
1425970958074499328,251.90870804013812,53.057672198063656,22.168425436051155,False,4912,2,120,409.25556795058804,0.196182,82,600.0,500.0,0.25,357.20581085474373,183.5685652183282,5,35.714285714285715,1.7293071014870753e-10,1.4180318232194017e-08,326,P248+53,1,0.4921739130434783,0,0.0892857142857143,0,0.3571428571428572,1,1.4285714285714288,3,4.128571428571428,7,8.928571428571429,29,35.714285714285715,none,False,True,outside_footprint_or_masked,,not_significant,1.0,not_significant,1.0,not_significant,0.0066267049207928315,3,0,0.0066267049207928315,0.0011086966162579272,401.6135075476304,True,29,252.07390073007718,53.108663466179856,False
1674429597762762880,209.70586461398673,69.24515300497173,22.025616048395115,False,5032,1,92,313.76260209545086,0.154541,41,600.0,500.0,0.375,-166.17506072090708,382.71952062338937,1,27.380952380952383,3.6444369123701766e-11,1.4942191340717725e-09,259,P211+67,1,0.45359223300970875,0,0.06845238095238096,0,0.27380952380952384,0,1.0952380952380953,1,3.165238095238095,2,6.845238095238096,19,27.380952380952383,none,False,True,not_significant,1.0,none,8.219053835903581e-10,outside_footprint_or_masked,,not_significant,1.0,3,1,8.219053835903581e-10,0.0008426094283560246,417.2389989823508,True,19,209.57528634567143,69.35146398292267,False
1094309013631601280,127.87096745418717,68.43318717298511,20.82795330606657,False,5951,1,168,572.9577951308233,0.288906,82,600.0,500.0,0.0,166.14608396657346,252.62852348121177,16,50.00000000000001,2.0424168906349307e-08,1.6747818503206431e-06,465,P124+67;P131+67,2,0.4901570680628273,0,0.12500000000000003,0,0.5000000000000001,0,2.0000000000000004,0,5.78,4,12.500000000000002,33,50.00000000000001,none,False,True,not_significant,1.0,not_significant,1.0,outside_footprint_or_masked,,not_significant,1.0,3,0,1.0,0.0022617410971661716,302.36681711742915,True,33,127.99671577344338,68.50336176284101,False
